Series ID,Year,Period,Label,Value
LASST450000000000005,1976,M01,1976 Jan,1200437
LASST450000000000005,1976,M02,1976 Feb,1200235
LASST450000000000005,1976,M03,1976 Mar,1200705
LASST450000000000005,1976,M04,1976 Apr,1202589
LASST450000000000005,1976,M05,1976 May,1204846
LASST450000000000005,1976,M06,1976 Jun,1207151
LASST450000000000005,1976,M07,1976 Jul,1208997
LASST450000000000005,1976,M08,1976 Aug,1210629
LASST450000000000005,1976,M09,1976 Sep,1212463
LASST450000000000005,1976,M10,1976 Oct,1214447
LASST450000000000005,1976,M11,1976 Nov,1216485
LASST450000000000005,1976,M12,1976 Dec,1218598
LASST450000000000005,1977,M01,1977 Jan,1221010
LASST450000000000005,1977,M02,1977 Feb,1223694
LASST450000000000005,1977,M03,1977 Mar,1226364
LASST450000000000005,1977,M04,1977 Apr,1229025
LASST450000000000005,1977,M05,1977 May,1231580
LASST450000000000005,1977,M06,1977 Jun,1234043
LASST450000000000005,1977,M07,1977 Jul,1236729
LASST450000000000005,1977,M08,1977 Aug,1240060
LASST450000000000005,1977,M09,1977 Sep,1244269
LASST450000000000005,1977,M10,1977 Oct,1249105
LASST450000000000005,1977,M11,1977 Nov,1254195
LASST450000000000005,1977,M12,1977 Dec,1259101
LASST450000000000005,1978,M01,1978 Jan,1263749
LASST450000000000005,1978,M02,1978 Feb,1268079
LASST450000000000005,1978,M03,1978 Mar,1272249
LASST450000000000005,1978,M04,1978 Apr,1276103
LASST450000000000005,1978,M05,1978 May,1279689
LASST450000000000005,1978,M06,1978 Jun,1282952
LASST450000000000005,1978,M07,1978 Jul,1285513
LASST450000000000005,1978,M08,1978 Aug,1287258
LASST450000000000005,1978,M09,1978 Sep,1288631
LASST450000000000005,1978,M10,1978 Oct,1290496
LASST450000000000005,1978,M11,1978 Nov,1293166
LASST450000000000005,1978,M12,1978 Dec,1296173
LASST450000000000005,1979,M01,1979 Jan,1298965
LASST450000000000005,1979,M02,1979 Feb,1301408
LASST450000000000005,1979,M03,1979 Mar,1303380
LASST450000000000005,1979,M04,1979 Apr,1304885
LASST450000000000005,1979,M05,1979 May,1306124
LASST450000000000005,1979,M06,1979 Jun,1307105
LASST450000000000005,1979,M07,1979 Jul,1308273
LASST450000000000005,1979,M08,1979 Aug,1309639
LASST450000000000005,1979,M09,1979 Sep,1310572
LASST450000000000005,1979,M10,1979 Oct,1310321
LASST450000000000005,1979,M11,1979 Nov,1308589
LASST450000000000005,1979,M12,1979 Dec,1305791
LASST450000000000005,1980,M01,1980 Jan,1302425
LASST450000000000005,1980,M02,1980 Feb,1299100
LASST450000000000005,1980,M03,1980 Mar,1296580
LASST450000000000005,1980,M04,1980 Apr,1295594
LASST450000000000005,1980,M05,1980 May,1296301
LASST450000000000005,1980,M06,1980 Jun,1298452
LASST450000000000005,1980,M07,1980 Jul,1301127
LASST450000000000005,1980,M08,1980 Aug,1303584
LASST450000000000005,1980,M09,1980 Sep,1305680
LASST450000000000005,1980,M10,1980 Oct,1307427
LASST450000000000005,1980,M11,1980 Nov,1309217
LASST450000000000005,1980,M12,1980 Dec,1311554
LASST450000000000005,1981,M01,1981 Jan,1314353
LASST450000000000005,1981,M02,1981 Feb,1317216
LASST450000000000005,1981,M03,1981 Mar,1319659
LASST450000000000005,1981,M04,1981 Apr,1320903
LASST450000000000005,1981,M05,1981 May,1320394
LASST450000000000005,1981,M06,1981 Jun,1318419
LASST450000000000005,1981,M07,1981 Jul,1315520
LASST450000000000005,1981,M08,1981 Aug,1312495
LASST450000000000005,1981,M09,1981 Sep,1310205
LASST450000000000005,1981,M10,1981 Oct,1309367
LASST450000000000005,1981,M11,1981 Nov,1310105
LASST450000000000005,1981,M12,1981 Dec,1312185
LASST450000000000005,1982,M01,1982 Jan,1315249
LASST450000000000005,1982,M02,1982 Feb,1318324
LASST450000000000005,1982,M03,1982 Mar,1320456
LASST450000000000005,1982,M04,1982 Apr,1321611
LASST450000000000005,1982,M05,1982 May,1322339
LASST450000000000005,1982,M06,1982 Jun,1323047
LASST450000000000005,1982,M07,1982 Jul,1324038
LASST450000000000005,1982,M08,1982 Aug,1325286
LASST450000000000005,1982,M09,1982 Sep,1326243
LASST450000000000005,1982,M10,1982 Oct,1326294
LASST450000000000005,1982,M11,1982 Nov,1325018
LASST450000000000005,1982,M12,1982 Dec,1322302
LASST450000000000005,1983,M01,1983 Jan,1318753
LASST450000000000005,1983,M02,1983 Feb,1315792
LASST450000000000005,1983,M03,1983 Mar,1314577
LASST450000000000005,1983,M04,1983 Apr,1315798
LASST450000000000005,1983,M05,1983 May,1319464
LASST450000000000005,1983,M06,1983 Jun,1325127
LASST450000000000005,1983,M07,1983 Jul,1332177
LASST450000000000005,1983,M08,1983 Aug,1339494
LASST450000000000005,1983,M09,1983 Sep,1346227
LASST450000000000005,1983,M10,1983 Oct,1352104
LASST450000000000005,1983,M11,1983 Nov,1357118
LASST450000000000005,1983,M12,1983 Dec,1361572
LASST450000000000005,1984,M01,1984 Jan,1366022
LASST450000000000005,1984,M02,1984 Feb,1370946
LASST450000000000005,1984,M03,1984 Mar,1376350
LASST450000000000005,1984,M04,1984 Apr,1381609
LASST450000000000005,1984,M05,1984 May,1386147
LASST450000000000005,1984,M06,1984 Jun,1389859
LASST450000000000005,1984,M07,1984 Jul,1392924
LASST450000000000005,1984,M08,1984 Aug,1396062
LASST450000000000005,1984,M09,1984 Sep,1400034
LASST450000000000005,1984,M10,1984 Oct,1405510
LASST450000000000005,1984,M11,1984 Nov,1412857
LASST450000000000005,1984,M12,1984 Dec,1421472
LASST450000000000005,1985,M01,1985 Jan,1429784
LASST450000000000005,1985,M02,1985 Feb,1436057
LASST450000000000005,1985,M03,1985 Mar,1439675
LASST450000000000005,1985,M04,1985 Apr,1441277
LASST450000000000005,1985,M05,1985 May,1441798
LASST450000000000005,1985,M06,1985 Jun,1442081
LASST450000000000005,1985,M07,1985 Jul,1442790
LASST450000000000005,1985,M08,1985 Aug,1444439
LASST450000000000005,1985,M09,1985 Sep,1446892
LASST450000000000005,1985,M10,1985 Oct,1449510
LASST450000000000005,1985,M11,1985 Nov,1452016
LASST450000000000005,1985,M12,1985 Dec,1454761
LASST450000000000005,1986,M01,1986 Jan,1458335
LASST450000000000005,1986,M02,1986 Feb,1463218
LASST450000000000005,1986,M03,1986 Mar,1469430
LASST450000000000005,1986,M04,1986 Apr,1476589
LASST450000000000005,1986,M05,1986 May,1484270
LASST450000000000005,1986,M06,1986 Jun,1491836
LASST450000000000005,1986,M07,1986 Jul,1498548
LASST450000000000005,1986,M08,1986 Aug,1503828
LASST450000000000005,1986,M09,1986 Sep,1507788
LASST450000000000005,1986,M10,1986 Oct,1510826
LASST450000000000005,1986,M11,1986 Nov,1513030
LASST450000000000005,1986,M12,1986 Dec,1515018
LASST450000000000005,1987,M01,1987 Jan,1517653
LASST450000000000005,1987,M02,1987 Feb,1521339
LASST450000000000005,1987,M03,1987 Mar,1525964
LASST450000000000005,1987,M04,1987 Apr,1530966
LASST450000000000005,1987,M05,1987 May,1535932
LASST450000000000005,1987,M06,1987 Jun,1540645
LASST450000000000005,1987,M07,1987 Jul,1545105
LASST450000000000005,1987,M08,1987 Aug,1549302
LASST450000000000005,1987,M09,1987 Sep,1553420
LASST450000000000005,1987,M10,1987 Oct,1557638
LASST450000000000005,1987,M11,1987 Nov,1562174
LASST450000000000005,1987,M12,1987 Dec,1566426
LASST450000000000005,1988,M01,1988 Jan,1569765
LASST450000000000005,1988,M02,1988 Feb,1572424
