Series ID,Year,Period,Label,Value
LASST450000000000006,1976,M01,1976 Jan,1295867
LASST450000000000006,1976,M02,1976 Feb,1295652
LASST450000000000006,1976,M03,1976 Mar,1295432
LASST450000000000006,1976,M04,1976 Apr,1295324
LASST450000000000006,1976,M05,1976 May,1295580
LASST450000000000006,1976,M06,1976 Jun,1296350
LASST450000000000006,1976,M07,1976 Jul,1297400
LASST450000000000006,1976,M08,1976 Aug,1298899
LASST450000000000006,1976,M09,1976 Sep,1300801
LASST450000000000006,1976,M10,1976 Oct,1303240
LASST450000000000006,1976,M11,1976 Nov,1306377
LASST450000000000006,1976,M12,1976 Dec,1309983
LASST450000000000006,1977,M01,1977 Jan,1314128
LASST450000000000006,1977,M02,1977 Feb,1318327
LASST450000000000006,1977,M03,1977 Mar,1321504
LASST450000000000006,1977,M04,1977 Apr,1323419
LASST450000000000006,1977,M05,1977 May,1324298
LASST450000000000006,1977,M06,1977 Jun,1324773
LASST450000000000006,1977,M07,1977 Jul,1325778
LASST450000000000006,1977,M08,1977 Aug,1328000
LASST450000000000006,1977,M09,1977 Sep,1331242
LASST450000000000006,1977,M10,1977 Oct,1334631
LASST450000000000006,1977,M11,1977 Nov,1337576
LASST450000000000006,1977,M12,1977 Dec,1339831
LASST450000000000006,1978,M01,1978 Jan,1341655
LASST450000000000006,1978,M02,1978 Feb,1343779
LASST450000000000006,1978,M03,1978 Mar,1347167
LASST450000000000006,1978,M04,1978 Apr,1351655
LASST450000000000006,1978,M05,1978 May,1356617
LASST450000000000006,1978,M06,1978 Jun,1360925
LASST450000000000006,1978,M07,1978 Jul,1363445
LASST450000000000006,1978,M08,1978 Aug,1364225
LASST450000000000006,1978,M09,1978 Sep,1364123
LASST450000000000006,1978,M10,1978 Oct,1364354
LASST450000000000006,1978,M11,1978 Nov,1365634
LASST450000000000006,1978,M12,1978 Dec,1367851
LASST450000000000006,1979,M01,1979 Jan,1370229
LASST450000000000006,1979,M02,1979 Feb,1371914
LASST450000000000006,1979,M03,1979 Mar,1372382
LASST450000000000006,1979,M04,1979 Apr,1371928
LASST450000000000006,1979,M05,1979 May,1371437
LASST450000000000006,1979,M06,1979 Jun,1371649
LASST450000000000006,1979,M07,1979 Jul,1373046
LASST450000000000006,1979,M08,1979 Aug,1375410
LASST450000000000006,1979,M09,1979 Sep,1378097
LASST450000000000006,1979,M10,1979 Oct,1380156
LASST450000000000006,1979,M11,1979 Nov,1380788
LASST450000000000006,1979,M12,1979 Dec,1380257
LASST450000000000006,1980,M01,1980 Jan,1379386
LASST450000000000006,1980,M02,1980 Feb,1379200
LASST450000000000006,1980,M03,1980 Mar,1380573
LASST450000000000006,1980,M04,1980 Apr,1383802
LASST450000000000006,1980,M05,1980 May,1388589
LASST450000000000006,1980,M06,1980 Jun,1394359
LASST450000000000006,1980,M07,1980 Jul,1399913
LASST450000000000006,1980,M08,1980 Aug,1404244
LASST450000000000006,1980,M09,1980 Sep,1407246
LASST450000000000006,1980,M10,1980 Oct,1409551
LASST450000000000006,1980,M11,1980 Nov,1411935
LASST450000000000006,1980,M12,1980 Dec,1414904
LASST450000000000006,1981,M01,1981 Jan,1418507
LASST450000000000006,1981,M02,1981 Feb,1422364
LASST450000000000006,1981,M03,1981 Mar,1425845
LASST450000000000006,1981,M04,1981 Apr,1428230
LASST450000000000006,1981,M05,1981 May,1429164
LASST450000000000006,1981,M06,1981 Jun,1429279
LASST450000000000006,1981,M07,1981 Jul,1429774
LASST450000000000006,1981,M08,1981 Aug,1431363
LASST450000000000006,1981,M09,1981 Sep,1434226
LASST450000000000006,1981,M10,1981 Oct,1438466
LASST450000000000006,1981,M11,1981 Nov,1444016
