Series ID,Year,Period,Label,Value
LASST450000000000004,1976,M01,1976 Jan,95430
LASST450000000000004,1976,M02,1976 Feb,95417
LASST450000000000004,1976,M03,1976 Mar,94727
LASST450000000000004,1976,M04,1976 Apr,92735
LASST450000000000004,1976,M05,1976 May,90734
LASST450000000000004,1976,M06,1976 Jun,89199
LASST450000000000004,1976,M07,1976 Jul,88403
LASST450000000000004,1976,M08,1976 Aug,88270
LASST450000000000004,1976,M09,1976 Sep,88338
LASST450000000000004,1976,M10,1976 Oct,88793
LASST450000000000004,1976,M11,1976 Nov,89892
LASST450000000000004,1976,M12,1976 Dec,91385
LASST450000000000004,1977,M01,1977 Jan,93118
LASST450000000000004,1977,M02,1977 Feb,94633
LASST450000000000004,1977,M03,1977 Mar,95140
LASST450000000000004,1977,M04,1977 Apr,94394
LASST450000000000004,1977,M05,1977 May,92718
LASST450000000000004,1977,M06,1977 Jun,90730
LASST450000000000004,1977,M07,1977 Jul,89049
LASST450000000000004,1977,M08,1977 Aug,87940
LASST450000000000004,1977,M09,1977 Sep,86973
LASST450000000000004,1977,M10,1977 Oct,85526
LASST450000000000004,1977,M11,1977 Nov,83381
LASST450000000000004,1977,M12,1977 Dec,80730
LASST450000000000004,1978,M01,1978 Jan,77906
LASST450000000000004,1978,M02,1978 Feb,75700
LASST450000000000004,1978,M03,1978 Mar,74918
LASST450000000000004,1978,M04,1978 Apr,75552
LASST450000000000004,1978,M05,1978 May,76928
LASST450000000000004,1978,M06,1978 Jun,77973
LASST450000000000004,1978,M07,1978 Jul,77932
LASST450000000000004,1978,M08,1978 Aug,76967
LASST450000000000004,1978,M09,1978 Sep,75492
LASST450000000000004,1978,M10,1978 Oct,73858
LASST450000000000004,1978,M11,1978 Nov,72468
LASST450000000000004,1978,M12,1978 Dec,71678
LASST450000000000004,1979,M01,1979 Jan,71264
LASST450000000000004,1979,M02,1979 Feb,70506
LASST450000000000004,1979,M03,1979 Mar,69002
LASST450000000000004,1979,M04,1979 Apr,67043
LASST450000000000004,1979,M05,1979 May,65313
