Date, Open, High, Low, Close
03/14/25, 665.82, 681.00, 681.00, 681.00
03/13/25, 663.60, 662.39, 662.39, 662.39
03/12/25, 664.01, 666.65, 666.65, 666.65
03/11/25, 671.88, 663.74, 663.74, 663.74
03/10/25, 666.39, 670.18, 670.18, 670.18
03/07/25, 655.92, 663.95, 663.95, 663.95
03/06/25, 647.01, 653.22, 653.22, 653.22
03/05/25, 651.14, 649.95, 649.95, 649.95
03/04/25, 656.71, 659.92, 659.92, 659.92
03/03/25, 693.40, 665.65, 665.65, 665.65
02/28/25, 677.79, 689.88, 689.88, 689.88
02/27/25, 678.58, 679.49, 679.49, 679.49
02/26/25, 680.14, 676.23, 676.23, 676.23
02/25/25, 689.64, 679.54, 679.54, 679.54
02/24/25, 690.02, 689.70, 689.70, 689.70
02/21/25, 699.23, 688.97, 688.97, 688.97
02/20/25, 695.20, 702.68, 702.68, 702.68
02/19/25, 694.27, 695.91, 695.91, 695.91
02/18/25, 683.91, 691.08, 691.08, 691.08
02/14/25, 682.69, 681.76, 681.76, 681.76
02/13/25, 674.07, 680.86, 680.86, 680.86
02/12/25, 690.68, 675.66, 675.66, 675.66
02/11/25, 691.02, 694.35, 694.35, 694.35
02/10/25, 679.90, 689.13, 689.13, 689.13
02/07/25, 675.92, 674.59, 674.59, 674.59
02/06/25, 690.00, 674.79, 674.79, 674.79
02/05/25, 685.26, 686.07, 686.07, 686.07
02/04/25, 669.04, 685.33, 685.33, 685.33
02/03/25, 666.57, 670.73, 670.73, 670.73
01/31/25, 685.54, 667.95, 667.95, 667.95
01/30/25, 688.90, 686.76, 686.76, 686.76
01/29/25, 681.08, 683.17, 683.17, 683.17
01/28/25, 690.40, 681.95, 681.95, 681.95
01/27/25, 691.86, 689.11, 689.11, 689.11
01/24/25, 701.91, 694.23, 694.23, 694.23
01/23/25, 702.94, 701.07, 701.07, 701.07
01/22/25, 709.53, 697.95, 697.95, 697.95
01/21/25, 713.20, 710.38, 710.38, 710.38
01/17/25, 708.48, 714.95, 714.95, 714.95
01/16/25, 702.41, 709.32, 709.32, 709.32
01/15/25, 699.00, 704.92, 704.92, 704.92
01/14/25, 687.56, 695.23, 695.23, 695.23
01/13/25, 676.65, 688.75, 688.75, 688.75
01/10/25, 678.19, 673.60, 673.60, 673.60
01/08/25, 665.51, 671.30, 671.30, 671.30
01/07/25, 666.85, 671.96, 671.96, 671.96
01/06/25, 670.22, 664.88, 664.88, 664.88
01/03/25, 665.17, 667.60, 667.60, 667.60
01/02/25, 660.64, 661.66, 661.66, 661.66
12/31/24, 646.93, 654.85, 654.85, 654.85
12/30/24, 647.04, 646.12, 646.12, 646.12
12/27/24, 644.58, 646.67, 646.67, 646.67
12/26/24, 647.40, 646.72, 646.72, 646.72
12/24/24, 644.06, 647.39, 647.39, 647.39
12/23/24, 637.52, 642.84, 642.84, 642.84
12/20/24, 632.56, 638.92, 638.92, 638.92
12/19/24, 645.79, 633.35, 633.35, 633.35
12/18/24, 654.58, 639.66, 639.66, 639.66
12/17/24, 655.44, 656.83, 656.83, 656.83
12/16/24, 675.12, 661.88, 661.88, 661.88
12/13/24, 680.91, 676.68, 676.68, 676.68
12/12/24, 684.19, 680.99, 680.99, 680.99
12/11/24, 685.48, 685.58, 685.58, 685.58
12/10/24, 693.68, 685.43, 685.43, 685.43
12/09/24, 696.25, 689.74, 689.74, 689.74
12/06/24, 700.97, 691.13, 691.13, 691.13
12/05/24, 702.83, 702.13, 702.13, 702.13
12/04/24, 716.15, 699.77, 699.77, 699.77
12/03/24, 720.60, 717.49, 717.49, 717.49
12/02/24, 724.38, 717.87, 717.87, 717.87
11/29/24, 722.86, 724.06, 724.06, 724.06
11/27/24, 722.36, 721.60, 721.60, 721.60
11/26/24, 726.36, 722.29, 722.29, 722.29
11/25/24, 739.54, 723.95, 723.95, 723.95
11/22/24, 737.52, 738.83, 738.83, 738.83
11/21/24, 735.95, 737.99, 737.99, 737.99
